mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
53	53	0	0	4/4	3	1		V6/ii		d	i		V6/ii	V		6		ii			M	1	1	7, 4, 3		3	7
53	53	1/2	1/2	4/4	3	1		I		d	i		I	I							M	1	1	0, 4, 1		0	0
53	53	3/4	3/4	4/4	3	1		viio64/V		d	i		viio64/V	vii	o	64		V			o	1	1	0, 6, 3		6	0
54	54	0	0	4/4	3	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
54	54	1/2	1/2	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
54	54	3/4	3/4	4/4	3	1		viio64/IV		d	i		viio64/IV	vii	o	64		IV			o	1	1	-2, 4, 1		4	-2
55	55	0	0	4/4	3	1		IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
55	55	1/2	1/2	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
57	57	0	0	4/4	3	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
57	57	1/2	1/2	4/4	3	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
58	58	0	0	4/4	3	1		#viio6/v		d	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
58	58	1/2	1/2	4/4	3	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
59	59	0	0	4/4	3	1		I64		d	i		I64	I		64					M	1	1	1, 0, 4		0	1
59	59	1/2	1/2	4/4	3	1		i64		d	i		i64	i		64					m	1	1	1, 0, -3		0	1
60	60	0	0	4/4	3	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
60	60	1/2	1/2	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
61	61	0	0	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
61	61	1/2	1/2	4/4	3	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
62	62	0	0	4/4	3	1		I		d	i		I	I							M	1	1	0, 4, 1		0	0
62	62	1/2	1/2	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
62	62	3/4	3/4	4/4	3	1		V43/VII		d	i		V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
63	63	0	0	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
63	63	1/2	1/2	4/4	3	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
63	63	3/4	3/4	4/4	3	1		V7/iv		d	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
64	64	0	0	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
64	64	1/2	1/2	4/4	3	1		IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
65	65	0	0	4/4	3	1		I		d	i		I	I							M	1	1	0, 4, 1		0	0
65	65	1/2	1/2	4/4	3	1		III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
