mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	4/4	3	1	d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	8	8	2.0	0	0	4/4	3	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	10	10	2.0	1/2	1/2	4/4	3	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
4	4	12	12	2.0	0	0	4/4	3	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
4	4	14	14	2.0	1/2	1/2	4/4	3	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	16	16	3.0	0	0	4/4	3	1	V	v	d	i		V	V							M	1	1	1, 5, 2		1	1
5	5	19	19	1.0	3/4	3/4	4/4	3	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
6	6	20	20	2.0	0	0	4/4	3	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
6	6	22	22	2.0	1/2	1/2	4/4	3	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
7	7	24	24	1.0	0	0	4/4	3	1	V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
7	7	25	25	1.0	1/4	1/4	4/4	3	1	V64/v		d	i		V64/v	V		64		v			M	1	1	3, 2, 6		2	3
7	7	26	26	1.0	1/2	1/2	4/4	3	1	ii64		d	i		ii64	ii		64					m	1	1	3, 2, -1		2	3
7	7	27	27	1.0	3/4	3/4	4/4	3	1	#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
8	8	28	28	1.0	0	0	4/4	3	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
8	8	29	29	1.0	1/4	1/4	4/4	3	1	I64		d	i		I64	I		64					M	1	1	1, 0, 4		0	1
8	8	30	30	1.0	1/2	1/2	4/4	3	1	i64		d	i		i64	i		64					m	1	1	1, 0, -3		0	1
8	8	31	31	1.0	3/4	3/4	4/4	3	1	viio/VII		d	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
9	9	32	32	1.0	0	0	4/4	3	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
9	9	33	33	1.0	1/4	1/4	4/4	3	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
9	9	34	34	6.0	1/2	1/2	4/4	3	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
11	11	40	40	2.0	0	0	4/4	3	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
11	11	42	42	1.0	1/2	1/2	4/4	3	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
11	11	43	43	1.0	3/4	3/4	4/4	3	1	viio64/IV		d	i		viio64/IV	vii	o	64		IV			o	1	1	-2, 4, 1		4	-2
12	12	44	44	2.0	0	0	4/4	3	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
12	12	46	46	1.0	1/2	1/2	4/4	3	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	12	47	47	1.0	3/4	3/4	4/4	3	1	viio64/III		d	i		viio64/III	vii	o	64		III			o	1	1	-4, 2, -1		2	-4
13	13	48	48	2.0	0	0	4/4	3	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
13	13	50	50	1.0	1/2	1/2	4/4	3	1	i6(2)		d	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
13	13	51	51	1.0	3/4	3/4	4/4	3	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
14	14	52	52	2.0	0	0	4/4	3	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
14	14	54	54	2.0	1/2	1/2	4/4	3	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
15	15	56	56	1.0	0	0	4/4	3	1	V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
15	15	57	57	1.0	1/4	1/4	4/4	3	1	V64/v		d	i		V64/v	V		64		v			M	1	1	3, 2, 6		2	3
15	15	58	58	1.0	1/2	1/2	4/4	3	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
15	15	59	59	1.0	3/4	3/4	4/4	3	1	#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
16	16	60	60	1.0	0	0	4/4	3	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
16	16	61	61	1.0	1/4	1/4	4/4	3	1	I64		d	i		I64	I		64					M	1	1	1, 0, 4		0	1
16	16	62	62	1.0	1/2	1/2	4/4	3	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
16	16	63	63	1.0	3/4	3/4	4/4	3	1	viio/VII		d	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
17	17	64	64	1.0	0	0	4/4	3	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
17	17	65	65	1.0	1/4	1/4	4/4	3	1	#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
17	17	66	66	2.0	1/2	1/2	4/4	3	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
18	18	68	68	3.0	0	0	4/4	3	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
18	18	71	71	1.0	3/4	3/4	4/4	3	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
19	19	72	72	2.0	0	0	4/4	3	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
19	19	74	74	1.0	1/2	1/2	4/4	3	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
19	19	75	75	1.0	3/4	3/4	4/4	3	1	viio6/IV		d	i		viio6/IV	vii	o	6		IV			o	1	1	1, -2, 4		4	1
20	20	76	76	1.0	0	0	4/4	3	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
20	20	77	77	1.0	1/4	1/4	4/4	3	1	IV64		d	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
20	20	78	78	1.0	1/2	1/2	4/4	3	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
20	20	79	79	1.0	3/4	3/4	4/4	3	1	viio/III		d	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
21	21	80	80	2.0	0	0	4/4	3	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
21	21	82	82	6.0	1/2	1/2	4/4	3	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
23	23	88	88	2.0	0	0	4/4	3	1	V6/v		d	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
