mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0					All. mod.						
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥 =84	84.0	𝅘𝅥 	84.0	0.0	
1	1	0	0	0.0	0	0	Dynamic	4/4	2	1	0				mf							
1	1	0	0	4.0	0	0	Chord	4/4	2	1	1	1	1	0								
2	2	4	4	0.0	0	0	StaffText	4/4	2	1	0					(G.O.)						
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	1								
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	2								
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	3								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	4								
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	5								
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	6								
5	5	16	16	4.0	0	0	Chord	4/4	1	2	1	1	1	7								
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	8								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	9								
6	6	20	20	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	10								
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	11								
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12								
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15								
7	7	24	24	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	16								
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	17								
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	18								
7	7	25	25	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	19								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	20								
8	8	28	28	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	21								
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	22								
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	23								
8	8	29	29	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	24								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	25								
9	9	32	32	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	26								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	27								
9	9	32	32	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	28								
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	29								
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	30								
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	31								
9	9	33	33	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	32								
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	33								
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	34								
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	35								
9	9	34	34	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	36								
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	37								
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	38								
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	39								
9	9	35	35	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	40								
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	41								
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	42								
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	43								
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	3	1	0				mf							
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	44								
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	45								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	46								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	47								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	48								
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	49								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	50								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	51								
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	52								
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	53								
10	10	36	36	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	54								
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	55								
11	11	40	40	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	56								
11	11	41	41	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	57								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	58								
11	11	40	40	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	59								
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	60								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	61								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	62								
11	11	40	40	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	63								
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	64								
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	65								
12	12	45	45	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	66								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	67								
12	12	44	44	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	68								
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	69								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	70								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	71								
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	72								
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	73								
13	13	48	48	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	74								
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	75								
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	76								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	77								
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	78								
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	79								
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	80								
13	13	51	51	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	81								
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	82								
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	83								
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	84								
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	85								
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	86								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	87								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	88								
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	89								
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	90								
14	14	52	52	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	91								
14	14	52	52	4.0	0	0	Chord	4/4	1	3	1	1	1	92								
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	93								
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	94								
14	14	52	52	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	95								
14	14	53	53	0.0	1/4	1/4	StaffText	4/4	3	1	0					,						
14	14	53	53	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	96								
14	14	54	54	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	97								
14	14	55	55	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	98								
15	15	56	56	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	99								
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	100								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	101								
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	102								
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	103								
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	104								
15	15	56	56	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	105								
15	15	57	57	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	106								
15	15	59	59	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	107								
16	16	60	60	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	108								
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	109								
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	110								
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	111								
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	112								
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	113								
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	114								
16	16	61	61	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	115								
16	16	63	63	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	116								
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	117								
17	17	64	64	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	118								
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	119								
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	120								
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	121								
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	122								
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	123								
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	124								
17	17	64	64	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	125								
17	17	66	66	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	126								
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	127								
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	128								
18	18	68	68	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	129								
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	130								
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	131								
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	132								
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	133								
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	134								
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	135								
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	136								
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	137								
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	138								
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	139								
18	18	68	68	4.0	0	0	Chord	4/4	3	1	1	1	1	140								
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	141								
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	142								
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	143								
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	144								
19	19	73	73	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	145								
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	146								
19	19	72	72	4.0	0	0	Chord	4/4	3	1	1	1	1	147								
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	148								
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	149								
20	20	76	76	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	150								
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	151								
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	152								
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	153								
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	154								
20	20	77	77	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	155								
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	156								
21	21	80	80	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	157								
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	158								
21	21	80	80	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	159								
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	160								
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	161								
21	21	80	80	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	162								
21	21	321/4	321/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	163								
21	21	161/2	161/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	164								
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	165								
21	21	81	81	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	166								
21	21	325/4	325/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	167								
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	168								
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	169								
21	21	82	82	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	170								
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	171								
21	21	82	82	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	172								
22	22	84	84	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	173								
22	22	85	85	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	174								
22	22	86	86	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	175								
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	176								
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	177								
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	178								
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	179								
22	22	87	87	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	180								
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	181								
22	22	84	84	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	182								
22	22	86	86	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	183								
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	184								
23	23	89	89	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	185								
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	186								
23	23	88	88	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	187								
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	188								
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	189								
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	190								
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	191								
23	23	90	90	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	192								
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	193								
24	24	93	93	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	194								
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	195								
24	24	92	92	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	196								
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	197								
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	198								
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	199								
24	24	92	92	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	200								
24	24	94	94	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	201								
25	25	96	96	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	202								
25	25	193/2	193/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	203								
25	25	387/4	387/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	204								
25	25	97	97	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	205								
25	25	195/2	195/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	206								
